case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,91,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,146,780362971,
c01-small-normal0,small,normal,0,new,127,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,same
c01-small-normal0,small,normal,1,old,62,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,
c01-small-normal0,small,normal,1,new,66,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,31,780362971,
c02-small-normal1,small,normal,0,old,63,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,73,61381258,
c02-small-normal1,small,normal,0,new,46,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,27,61381258,same
c02-small-normal1,small,normal,1,old,43,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c02-small-normal1,small,normal,1,new,41,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c03-small-dense0,small,dense,0,old,3872,0,0,0,0,8,80000.0,4291.0,1.0000,42,146,84291.0,501,1667540613,
c03-small-dense0,small,dense,0,new,2813,0,0,0,0,8,80000.0,4291.0,1.0000,42,146,84291.0,686,1667540613,same
c03-small-dense0,small,dense,1,old,2728,0,0,0,0,10,100000.0,3362.0,1.0000,40,126,103362.0,645,-1735308741,
c03-small-dense0,small,dense,1,new,3025,0,0,0,0,10,100000.0,3362.0,1.0000,40,126,103362.0,721,-1735308741,
c04-small-dense1,small,dense,0,old,2340,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,702,197760004,
c04-small-dense1,small,dense,0,new,2203,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,554,197760004,same
c04-small-dense1,small,dense,1,old,1949,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,528,-1934663970,
c04-small-dense1,small,dense,1,new,1885,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,507,-1934663970,
c05-small-infeasible0,small,infeasible,0,old,156,0,0,0,0,21,210000.0,147.0,1.0000,28,98,210147.0,141,1499175879,
c05-small-infeasible0,small,infeasible,0,new,145,0,0,0,0,21,210000.0,147.0,1.0000,28,98,210147.0,33,1499175879,same
c05-small-infeasible0,small,infeasible,1,old,372,0,0,0,0,20,200000.0,154.0,1.0000,47,101,200154.0,77,2060246110,
c05-small-infeasible0,small,infeasible,1,new,267,0,0,0,0,20,200000.0,154.0,1.0000,47,101,200154.0,77,2060246110,
c06-small-infeasible1,small,infeasible,0,old,123,0,0,0,0,19,190000.0,154.0,1.0000,37,100,190154.0,47,-981834659,
c06-small-infeasible1,small,infeasible,0,new,137,0,0,0,0,19,190000.0,154.0,1.0000,37,100,190154.0,79,-981834659,same
c06-small-infeasible1,small,infeasible,1,old,246,0,0,0,0,20,200000.0,123.0,1.0000,44,84,200123.0,69,1603103267,
c06-small-infeasible1,small,infeasible,1,new,233,0,0,0,0,20,200000.0,123.0,1.0000,44,84,200123.0,75,1603103267,
c07-small-wishheavy0,small,wishheavy,0,old,145,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,41,296977776,
c07-small-wishheavy0,small,wishheavy,0,new,89,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,27,296977776,same
c07-small-wishheavy0,small,wishheavy,1,old,150,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,23,296977776,
c07-small-wishheavy0,small,wishheavy,1,new,108,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,23,296977776,
c08-small-wishheavy1,small,wishheavy,0,old,77,0,0,0,0,11,109000.0,442.0,0.9273,10,120,109442.0,59,-1408618498,
c08-small-wishheavy1,small,wishheavy,0,new,68,0,0,0,0,11,109000.0,442.0,0.9273,10,120,109442.0,27,-1408618498,same
c08-small-wishheavy1,small,wishheavy,1,old,76,0,0,0,0,11,109000.0,438.0,0.9273,7,118,109438.0,23,-593531170,
c08-small-wishheavy1,small,wishheavy,1,new,71,0,0,0,0,11,109000.0,438.0,0.9273,7,118,109438.0,23,-593531170,
c09-small-forbidden0,small,forbidden,0,old,58,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,37,1900346266,
c09-small-forbidden0,small,forbidden,0,new,69,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,23,1900346266,same
c09-small-forbidden0,small,forbidden,1,old,52,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,33,1900346266,
c09-small-forbidden0,small,forbidden,1,new,71,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,33,1900346266,
c10-small-forbidden1,small,forbidden,0,old,54,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,27,1601763826,
c10-small-forbidden1,small,forbidden,0,new,74,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,23,1601763826,same
c10-small-forbidden1,small,forbidden,1,old,54,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,27,1601763826,
c10-small-forbidden1,small,forbidden,1,new,41,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,23,1601763826,
c11-small-c2deficit0,small,c2deficit,0,old,80,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,31,-777648518,
c11-small-c2deficit0,small,c2deficit,0,new,66,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,27,-777648518,same
c11-small-c2deficit0,small,c2deficit,1,old,89,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,27,-777648518,
c11-small-c2deficit0,small,c2deficit,1,new,79,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,31,-777648518,
c12-small-c2deficit1,small,c2deficit,0,old,62,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,85,1120811747,
c12-small-c2deficit1,small,c2deficit,0,new,72,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,27,1120811747,same
c12-small-c2deficit1,small,c2deficit,1,old,68,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,23,1120811747,
c12-small-c2deficit1,small,c2deficit,1,new,46,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,23,1120811747,
c13-small-c42pair0,small,c42pair,0,old,169,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,86,1986584970,
c13-small-c42pair0,small,c42pair,0,new,159,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,44,1986584970,same
c13-small-c42pair0,small,c42pair,1,old,169,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,54,1986584970,
c13-small-c42pair0,small,c42pair,1,new,219,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,74,1986584970,
c14-small-c42pair1,small,c42pair,0,old,86,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,28,1979022278,
c14-small-c42pair1,small,c42pair,0,new,73,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,32,1979022278,same
c14-small-c42pair1,small,c42pair,1,old,85,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,32,1979022278,
c14-small-c42pair1,small,c42pair,1,new,82,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,32,1979022278,
c15-medium-normal0,medium,normal,0,old,495,0,0,0,0,0,0.0,365.0,1.0000,12,160,365.0,77,-617688437,
c15-medium-normal0,medium,normal,0,new,505,0,0,0,0,0,0.0,365.0,1.0000,12,160,365.0,77,-617688437,same
c15-medium-normal0,medium,normal,1,old,481,0,0,0,0,0,0.0,365.0,1.0000,12,160,365.0,79,-617688437,
c15-medium-normal0,medium,normal,1,new,481,0,0,0,0,0,0.0,365.0,1.0000,12,160,365.0,79,-617688437,
c16-medium-normal1,medium,normal,0,old,1150,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,97,1246887793,
c16-medium-normal1,medium,normal,0,new,1083,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,95,1246887793,same
c16-medium-normal1,medium,normal,1,old,1111,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,101,1246887793,
c16-medium-normal1,medium,normal,1,new,1109,0,0,0,0,0,0.0,342.0,0.9762,16,148,342.0,79,1246887793,
c17-medium-dense0,medium,dense,0,old,17265,0,0,0,0,2,20000.0,6770.0,0.9268,167,338,26770.0,1400,-1595608046,
c17-medium-dense0,medium,dense,0,new,15969,0,0,0,0,2,20000.0,6770.0,0.9268,167,338,26770.0,1416,-1595608046,same
c17-medium-dense0,medium,dense,1,old,15347,0,0,0,0,2,20000.0,6781.0,0.9268,202,293,26781.0,1334,-1272777608,
c17-medium-dense0,medium,dense,1,new,15373,0,0,0,0,2,20000.0,6781.0,0.9268,202,293,26781.0,1380,-1272777608,
c18-medium-dense1,medium,dense,0,old,15598,0,0,0,0,3,30000.0,8029.0,0.9388,188,340,38029.0,1408,250847778,
