case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,98,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,186,780362971,
c01-small-normal0,small,normal,0,new,86,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,same
c01-small-normal0,small,normal,1,old,73,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,
c01-small-normal0,small,normal,1,new,111,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,27,780362971,
c02-small-normal1,small,normal,0,old,111,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,33,61381258,
c02-small-normal1,small,normal,0,new,64,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,27,61381258,same
c02-small-normal1,small,normal,1,old,61,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c02-small-normal1,small,normal,1,new,63,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c03-small-dense0,small,dense,0,old,3201,0,0,0,0,8,80000.0,4178.0,1.0000,38,149,84178.0,405,1682625506,
c03-small-dense0,small,dense,0,new,2105,0,0,0,0,8,80000.0,4178.0,1.0000,38,149,84178.0,446,1682625506,same
c03-small-dense0,small,dense,1,old,3300,0,0,0,0,9,90000.0,3660.0,1.0000,28,119,93660.0,537,344042274,
c03-small-dense0,small,dense,1,new,2386,0,0,0,0,9,90000.0,3660.0,1.0000,28,119,93660.0,489,344042274,
c04-small-dense1,small,dense,0,old,1998,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,517,197760004,
c04-small-dense1,small,dense,0,new,1970,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,542,197760004,same
c04-small-dense1,small,dense,1,old,1803,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,464,-1934663970,
c04-small-dense1,small,dense,1,new,1862,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,332,-1934663970,
c05-small-infeasible0,small,infeasible,0,old,579,0,0,0,0,19,190000.0,147.0,1.0000,41,95,190147.0,88,-846593207,
c05-small-infeasible0,small,infeasible,0,new,445,0,0,0,0,19,190000.0,173.0,1.0000,42,97,190173.0,84,-773775287,same
c05-small-infeasible0,small,infeasible,1,old,70,0,0,0,0,21,210000.0,166.0,1.0000,31,108,210166.0,31,624572367,
c05-small-infeasible0,small,infeasible,1,new,70,0,0,0,0,21,210000.0,166.0,1.0000,31,108,210166.0,35,624572367,
c06-small-infeasible1,small,infeasible,0,old,110,0,0,0,0,19,190000.0,154.0,1.0000,37,100,190154.0,35,-981834659,
c06-small-infeasible1,small,infeasible,0,new,227,0,0,0,0,19,190000.0,177.0,1.0000,35,112,190177.0,79,1387383591,same
c06-small-infeasible1,small,infeasible,1,old,193,0,0,0,0,20,200000.0,123.0,1.0000,44,84,200123.0,79,1603103267,
c06-small-infeasible1,small,infeasible,1,new,186,0,0,0,0,20,200000.0,123.0,1.0000,44,84,200123.0,79,1603103267,
c07-small-wishheavy0,small,wishheavy,0,old,64,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,127,296977776,
c07-small-wishheavy0,small,wishheavy,0,new,71,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,23,296977776,same
c07-small-wishheavy0,small,wishheavy,1,old,42,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,23,296977776,
c07-small-wishheavy0,small,wishheavy,1,new,49,0,0,0,0,9,90000.0,361.0,0.9615,3,103,90361.0,23,296977776,
c08-small-wishheavy1,small,wishheavy,0,old,72,0,0,0,0,11,109000.0,442.0,0.9273,10,120,109442.0,27,-1408618498,
c08-small-wishheavy1,small,wishheavy,0,new,67,0,0,0,0,11,109000.0,442.0,0.9273,10,120,109442.0,27,-1408618498,same
c08-small-wishheavy1,small,wishheavy,1,old,87,0,0,0,0,11,109000.0,438.0,0.9273,7,118,109438.0,31,-593531170,
c08-small-wishheavy1,small,wishheavy,1,new,87,0,0,0,0,11,109000.0,438.0,0.9273,7,118,109438.0,23,-593531170,
c09-small-forbidden0,small,forbidden,0,old,61,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,133,1900346266,
c09-small-forbidden0,small,forbidden,0,new,61,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,23,1900346266,same
c09-small-forbidden0,small,forbidden,1,old,59,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,23,1900346266,
c09-small-forbidden0,small,forbidden,1,new,57,0,0,0,0,1,10000.0,145.0,0.9474,1,65,10145.0,23,1900346266,
c10-small-forbidden1,small,forbidden,0,old,39,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,27,1601763826,
c10-small-forbidden1,small,forbidden,0,new,50,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,25,1601763826,same
c10-small-forbidden1,small,forbidden,1,old,50,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,31,1601763826,
c10-small-forbidden1,small,forbidden,1,new,68,0,0,0,0,0,0.0,136.0,0.8750,0,64,136.0,31,1601763826,
c11-small-c2deficit0,small,c2deficit,0,old,67,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,93,-777648518,
c11-small-c2deficit0,small,c2deficit,0,new,82,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,25,-777648518,same
c11-small-c2deficit0,small,c2deficit,1,old,102,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,27,-777648518,
c11-small-c2deficit0,small,c2deficit,1,new,75,0,0,0,0,0,0.0,144.0,1.0000,0,60,144.0,31,-777648518,
c12-small-c2deficit1,small,c2deficit,0,old,46,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,27,1120811747,
c12-small-c2deficit1,small,c2deficit,0,new,47,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,27,1120811747,same
c12-small-c2deficit1,small,c2deficit,1,old,48,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,27,1120811747,
c12-small-c2deficit1,small,c2deficit,1,new,44,0,0,0,0,0,0.0,152.0,1.0000,0,65,152.0,29,1120811747,
c13-small-c42pair0,small,c42pair,0,old,174,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,104,1986584970,
c13-small-c42pair0,small,c42pair,0,new,147,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,78,1986584970,same
c13-small-c42pair0,small,c42pair,1,old,143,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,80,1986584970,
c13-small-c42pair0,small,c42pair,1,new,138,0,0,0,0,0,0.0,137.0,0.9167,0,69,137.0,78,1986584970,
c14-small-c42pair1,small,c42pair,0,old,83,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,134,1979022278,
c14-small-c42pair1,small,c42pair,0,new,86,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,28,1979022278,same
c14-small-c42pair1,small,c42pair,1,old,115,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,32,1979022278,
c14-small-c42pair1,small,c42pair,1,new,147,0,0,0,0,0,0.0,141.0,1.0000,0,71,141.0,26,1979022278,
c15-medium-normal0,medium,normal,0,old,2259,0,0,0,0,0,0.0,349.0,1.0000,27,153,349.0,80,-1277468171,
c15-medium-normal0,medium,normal,0,new,1317,0,0,0,0,0,0.0,349.0,1.0000,27,153,349.0,95,-1277468171,same
c15-medium-normal0,medium,normal,1,old,438,0,0,0,0,0,0.0,357.0,1.0000,25,157,357.0,83,-1142813325,
