case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,76,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,190,780362971,
c01-small-normal0,small,normal,0,new,64,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,same
c01-small-normal0,small,normal,1,old,57,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,27,780362971,
c01-small-normal0,small,normal,1,new,60,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,
c02-small-normal1,small,normal,0,old,66,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,105,61381258,
c02-small-normal1,small,normal,0,new,43,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,27,61381258,same
c02-small-normal1,small,normal,1,old,50,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c02-small-normal1,small,normal,1,new,41,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c03-small-dense0,small,dense,0,old,3444,0,0,0,0,8,80000.0,4291.0,1.0000,42,146,84291.0,601,1667540613,
c03-small-dense0,small,dense,0,new,2656,0,0,0,0,8,80000.0,4291.0,1.0000,42,146,84291.0,631,1667540613,same
c03-small-dense0,small,dense,1,old,2641,0,0,0,0,10,100000.0,3362.0,1.0000,40,126,103362.0,734,-1735308741,
c03-small-dense0,small,dense,1,new,2385,0,0,0,0,10,100000.0,3362.0,1.0000,40,126,103362.0,733,-1735308741,
c04-small-dense1,small,dense,0,old,1977,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,604,197760004,
c04-small-dense1,small,dense,0,new,2129,0,0,0,0,5,49000.0,5194.0,1.0000,33,155,54194.0,606,197760004,same
c04-small-dense1,small,dense,1,old,1763,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,482,-1934663970,
c04-small-dense1,small,dense,1,new,1833,0,0,0,0,7,70000.0,4186.0,1.0000,41,141,74186.0,445,-1934663970,
c05-small-infeasible0,small,infeasible,0,old,320,0,0,0,0,19,190000.0,147.0,1.0000,41,95,190147.0,172,-846593207,
c05-small-infeasible0,small,infeasible,0,new,283,0,0,0,0,19,190000.0,147.0,1.0000,41,95,190147.0,79,-846593207,same
c05-small-infeasible0,small,infeasible,1,old,114,0,0,0,0,21,210000.0,166.0,1.0000,31,108,210166.0,51,624572367,
