case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,60,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,34,43689835,
c01-small-normal0,small,normal,0,new,46,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,same
c01-small-normal0,small,normal,1,old,37,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,1,new,37,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,old,38,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,new,37,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,old,36,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,new,29,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,old,41,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,new,45,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c02-small-normal1,small,normal,0,old,68,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,59,-146857566,
c02-small-normal1,small,normal,0,new,62,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,same
c02-small-normal1,small,normal,1,old,84,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,1,new,90,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,29,-146857566,
c02-small-normal1,small,normal,2,old,38,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,29,-146857566,
c02-small-normal1,small,normal,2,new,30,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,3,old,72,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,3,new,65,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,4,old,80,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,4,new,66,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c03-small-dense0,small,dense,0,old,3530,0,0,0,0,9,72000.0,2561.0,1.0000,39,131,74561.0,351,-1035533250,
