case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,98,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,86,43689835,
c01-small-normal0,small,normal,0,new,87,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,same
c01-small-normal0,small,normal,1,old,78,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,25,43689835,
c01-small-normal0,small,normal,1,new,70,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,old,66,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,2,new,65,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,old,65,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,3,new,70,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,old,68,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c01-small-normal0,small,normal,4,new,71,0,0,0,0,0,0.0,66.0,1.0000,4,58,66.0,23,43689835,
c02-small-normal1,small,normal,0,old,91,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,0,new,81,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,same
c02-small-normal1,small,normal,1,old,113,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,23,-146857566,
c02-small-normal1,small,normal,1,new,111,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,29,-146857566,
c02-small-normal1,small,normal,2,old,42,0,0,0,0,1,8000.0,63.0,1.0000,3,52,8063.0,29,-146857566,
