case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,111,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,100,1984375030,
c01-small-normal0,small,normal,0,new,99,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,25,1984375030,same
c01-small-normal0,small,normal,1,old,87,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,23,1984375030,
c01-small-normal0,small,normal,1,new,87,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,23,1984375030,
c01-small-normal0,small,normal,2,old,69,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,23,1984375030,
c01-small-normal0,small,normal,2,new,66,0,0,0,0,0,0.0,128.0,1.0000,0,60,128.0,23,1984375030,
c02-small-normal1,small,normal,0,old,69,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,61,-364101158,
c02-small-normal1,small,normal,0,new,58,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,21,-364101158,same
c02-small-normal1,small,normal,1,old,49,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,21,-364101158,
c02-small-normal1,small,normal,1,new,49,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,21,-364101158,
c02-small-normal1,small,normal,2,old,52,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,21,-364101158,
c02-small-normal1,small,normal,2,new,54,0,0,0,0,1,10000.0,130.0,1.0000,2,58,10130.0,21,-364101158,
c03-small-dense0,small,dense,0,old,5019,0,0,0,0,9,90000.0,3805.0,1.0000,27,132,93805.0,410,-1358060574,
c03-small-dense0,small,dense,0,new,4231,0,0,0,0,9,90000.0,3801.0,1.0000,30,130,93801.0,479,1070672768,same
c03-small-dense0,small,dense,1,old,2521,0,0,0,0,9,90000.0,3706.0,1.0000,28,142,93706.0,441,-1620559066,
c03-small-dense0,small,dense,1,new,3233,0,0,0,0,9,90000.0,3678.0,1.0000,36,128,93678.0,546,-481029718,
c03-small-dense0,small,dense,2,old,3603,0,0,0,0,9,90000.0,3678.0,1.0000,31,128,93678.0,375,-123801284,
c03-small-dense0,small,dense,2,new,4106,0,0,0,0,9,90000.0,3670.0,1.0000,33,124,93670.0,396,1213555708,
c04-small-dense1,small,dense,0,old,2504,0,0,0,0,6,60000.0,4548.0,1.0000,34,143,64548.0,344,77200157,
c04-small-dense1,small,dense,0,new,2514,0,0,0,0,6,60000.0,4548.0,1.0000,34,143,64548.0,346,77200157,same
c04-small-dense1,small,dense,1,old,4919,0,0,0,0,6,60000.0,4556.0,1.0000,26,146,64556.0,578,-262135626,
c04-small-dense1,small,dense,1,new,4887,0,0,0,0,6,59000.0,4830.0,1.0000,29,152,63830.0,577,-1707167307,
c04-small-dense1,small,dense,2,old,2944,0,0,0,0,7,70000.0,4178.0,1.0000,33,137,74178.0,453,1351763770,
c04-small-dense1,small,dense,2,new,3492,0,0,0,0,7,70000.0,4178.0,1.0000,31,137,74178.0,317,611751324,
c05-small-infeasible0,small,infeasible,0,old,361,0,0,0,0,20,200000.0,150.0,1.0000,39,98,200150.0,35,178491932,
c05-small-infeasible0,small,infeasible,0,new,374,0,0,0,0,20,200000.0,150.0,1.0000,39,98,200150.0,27,178491932,same
c05-small-infeasible0,small,infeasible,1,old,198,0,0,0,0,19,190000.0,144.0,1.0000,33,93,190144.0,49,-690721369,
c05-small-infeasible0,small,infeasible,1,new,283,0,0,0,0,19,190000.0,153.0,1.0000,28,98,190153.0,49,1078930151,
c05-small-infeasible0,small,infeasible,2,old,85,0,0,0,0,20,200000.0,146.0,1.0000,25,96,200146.0,23,1850664484,
c05-small-infeasible0,small,infeasible,2,new,89,0,0,0,0,20,200000.0,146.0,1.0000,25,96,200146.0,23,1850664484,
c06-small-infeasible1,small,infeasible,0,old,232,0,0,0,0,21,210000.0,136.0,1.0000,49,93,210136.0,79,1316256679,
c06-small-infeasible1,small,infeasible,0,new,247,0,0,0,0,19,190000.0,157.0,1.0000,37,101,190157.0,77,899221875,same
c06-small-infeasible1,small,infeasible,1,old,298,0,0,0,0,19,190000.0,148.0,1.0000,55,97,190148.0,71,-1764138469,
c06-small-infeasible1,small,infeasible,1,new,338,0,0,0,0,19,190000.0,158.0,1.0000,44,103,190158.0,79,-1842935853,
c06-small-infeasible1,small,infeasible,2,old,262,0,0,0,0,20,200000.0,135.0,1.0000,25,92,200135.0,29,243325974,
c06-small-infeasible1,small,infeasible,2,new,390,0,0,0,0,20,200000.0,139.0,1.0000,29,90,200139.0,79,2019256796,
c07-small-wishheavy0,small,wishheavy,0,old,76,0,0,0,0,9,90000.0,367.0,0.9615,3,106,90367.0,19,296977776,
c07-small-wishheavy0,small,wishheavy,0,new,352,0,0,0,0,9,90000.0,371.0,0.9615,5,108,90371.0,53,519518388,same
c07-small-wishheavy0,small,wishheavy,1,old,60,0,0,0,0,9,90000.0,367.0,0.9615,3,106,90367.0,24,296977776,
c07-small-wishheavy0,small,wishheavy,1,new,329,0,0,0,0,9,90000.0,371.0,0.9615,5,108,90371.0,27,519518388,
c07-small-wishheavy0,small,wishheavy,2,old,48,0,0,0,0,9,90000.0,367.0,0.9615,2,107,90367.0,23,2042798706,
c07-small-wishheavy0,small,wishheavy,2,new,269,0,0,0,0,9,90000.0,371.0,0.9615,5,108,90371.0,26,519518388,
c08-small-wishheavy1,small,wishheavy,0,old,131,0,0,0,0,11,109000.0,456.0,0.9273,10,127,109456.0,63,-1445691043,
c08-small-wishheavy1,small,wishheavy,0,new,234,0,0,0,0,11,109000.0,467.0,0.9273,18,125,109467.0,25,750154168,same
c08-small-wishheavy1,small,wishheavy,1,old,78,0,0,0,0,11,109000.0,454.0,0.9273,7,126,109454.0,25,-1408618498,
c08-small-wishheavy1,small,wishheavy,1,new,316,0,0,0,0,11,109000.0,458.0,0.9273,13,121,109458.0,57,11865917,
c08-small-wishheavy1,small,wishheavy,2,old,70,0,0,0,0,11,109000.0,454.0,0.9273,7,126,109454.0,57,-1408618498,
c08-small-wishheavy1,small,wishheavy,2,new,430,0,0,0,0,11,109000.0,457.0,0.9273,15,120,109457.0,79,-1695048390,
