case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,131,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,156,-1348618309,
c01-small-normal0,small,normal,0,new,101,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,29,-1348618309,same
c01-small-normal0,small,normal,1,old,108,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,86,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,2,old,75,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,2,new,85,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,50,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,3,new,57,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,65,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,4,new,47,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,270,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,31,1555866933,
c02-small-normal1,small,normal,0,new,271,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,same
c02-small-normal1,small,normal,1,old,175,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,71,1555866933,
c02-small-normal1,small,normal,1,new,279,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,2,old,74,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,27,1555866933,
c02-small-normal1,small,normal,2,new,242,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,77,1555866933,
c02-small-normal1,small,normal,3,old,127,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,61,1037085653,
c02-small-normal1,small,normal,3,new,185,0,0,0,0,1,10000.0,170.0,1.0000,11,60,10170.0,77,1575620922,
c02-small-normal1,small,normal,4,old,149,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,51,1555866933,
c02-small-normal1,small,normal,4,new,164,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c03-small-dense0,small,dense,0,old,2038,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,331,2135296270,
c03-small-dense0,small,dense,0,new,1546,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,253,-811508726,same
c03-small-dense0,small,dense,1,old,2032,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,540,-1054077149,
c03-small-dense0,small,dense,1,new,1524,0,0,0,0,10,100000.0,3367.0,1.0000,31,123,103367.0,452,223563939,
c03-small-dense0,small,dense,2,old,1282,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,399,343229509,
c03-small-dense0,small,dense,2,new,2731,0,0,0,0,9,90000.0,3849.0,1.0000,26,128,93849.0,370,1070894856,
c03-small-dense0,small,dense,3,old,1863,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,344,391904234,
c03-small-dense0,small,dense,3,new,3263,0,0,0,0,8,80000.0,4231.0,1.0000,33,145,84231.0,292,-1416080574,
c03-small-dense0,small,dense,4,old,4007,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,577,-439085529,
c03-small-dense0,small,dense,4,new,2623,0,0,0,0,9,90000.0,3857.0,1.0000,27,139,93857.0,571,417065896,
c04-small-dense1,small,dense,0,old,2023,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,363,197760004,
c04-small-dense1,small,dense,0,new,3572,0,0,0,0,5,50000.0,5020.0,1.0000,32,151,55020.0,517,-1578635903,same
c04-small-dense1,small,dense,1,old,2545,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,572,-1086375102,
c04-small-dense1,small,dense,1,new,2651,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,535,-1086375102,
c04-small-dense1,small,dense,2,old,2472,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,537,275425981,
c04-small-dense1,small,dense,2,new,3301,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,509,275425981,
c04-small-dense1,small,dense,3,old,2792,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,551,-1312050081,
c04-small-dense1,small,dense,3,new,3503,0,0,0,0,5,50000.0,5020.0,1.0000,36,151,55020.0,398,-1078649219,
c04-small-dense1,small,dense,4,old,4330,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,629,-457390331,
c04-small-dense1,small,dense,4,new,3221,0,0,0,0,6,60000.0,4654.0,1.0000,40,147,64654.0,617,-373468927,
c05-small-infeasible0,small,infeasible,0,old,290,0,0,0,0,19,190000.0,179.0,1.0000,47,98,190179.0,546,920173953,
c05-small-infeasible0,small,infeasible,0,new,426,0,0,0,0,19,190000.0,186.0,1.0000,45,98,190186.0,81,-1765931963,same
c05-small-infeasible0,small,infeasible,1,old,234,0,0,0,0,19,190000.0,182.0,1.0000,42,92,190182.0,81,1766449152,
c05-small-infeasible0,small,infeasible,1,new,184,0,0,0,0,19,190000.0,182.0,1.0000,42,92,190182.0,77,1766449152,
c05-small-infeasible0,small,infeasible,2,old,190,0,0,0,0,19,190000.0,165.0,1.0000,37,91,190165.0,77,1842254691,
c05-small-infeasible0,small,infeasible,2,new,282,0,0,0,0,20,200000.0,168.0,1.0000,37,90,200168.0,77,-951491518,
c05-small-infeasible0,small,infeasible,3,old,114,0,0,0,0,19,190000.0,193.0,1.0000,24,98,190193.0,59,-1702976063,
c05-small-infeasible0,small,infeasible,3,new,119,0,0,0,0,19,190000.0,193.0,1.0000,24,98,190193.0,47,-1702976063,
c05-small-infeasible0,small,infeasible,4,old,177,0,0,0,0,19,190000.0,199.0,1.0000,38,101,190199.0,77,-1305715045,
c05-small-infeasible0,small,infeasible,4,new,173,0,0,0,0,19,190000.0,199.0,1.0000,38,101,190199.0,77,-1305715045,
c06-small-infeasible1,small,infeasible,0,old,236,0,0,0,0,19,190000.0,165.0,1.0000,38,91,190165.0,82,-974274295,
c06-small-infeasible1,small,infeasible,0,new,214,0,0,0,0,20,200000.0,158.0,1.0000,40,85,200158.0,81,-684118086,same
c06-small-infeasible1,small,infeasible,1,old,190,0,0,0,0,19,190000.0,191.0,1.0000,46,97,190191.0,79,-166054733,
c06-small-infeasible1,small,infeasible,1,new,319,0,0,0,0,19,190000.0,194.0,1.0000,46,95,190194.0,79,1103227955,
c06-small-infeasible1,small,infeasible,2,old,220,0,0,0,0,19,190000.0,177.0,1.0000,43,97,190177.0,81,392406435,
c06-small-infeasible1,small,infeasible,2,new,247,0,0,0,0,19,190000.0,156.0,1.0000,43,90,190156.0,79,2057443073,
c06-small-infeasible1,small,infeasible,3,old,98,0,0,0,0,19,190000.0,176.0,1.0000,25,93,190176.0,31,98087229,
c06-small-infeasible1,small,infeasible,3,new,129,0,0,0,0,19,190000.0,174.0,1.0000,27,92,190174.0,63,2047937623,
c06-small-infeasible1,small,infeasible,4,old,248,0,0,0,0,19,190000.0,173.0,1.0000,28,87,190173.0,79,-2103026243,
c06-small-infeasible1,small,infeasible,4,new,250,0,0,0,0,20,200000.0,159.0,1.0000,32,89,200159.0,79,20854913,
c07-small-wishheavy0,small,wishheavy,0,old,89,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,29,175677132,
c07-small-wishheavy0,small,wishheavy,0,new,59,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,same
c07-small-wishheavy0,small,wishheavy,1,old,55,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,27,175677132,
c07-small-wishheavy0,small,wishheavy,1,new,42,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
