case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,97,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,90,-1348618309,
c01-small-normal0,small,normal,0,new,96,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,29,-1348618309,same
c01-small-normal0,small,normal,1,old,133,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,66,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,2,old,63,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,new,69,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,65,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,new,56,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,4,old,75,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,81,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c02-small-normal1,small,normal,0,old,122,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,99,1555866933,
c02-small-normal1,small,normal,0,new,239,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,81,1555866933,same
c02-small-normal1,small,normal,1,old,124,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,59,1555866933,
c02-small-normal1,small,normal,1,new,186,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,81,1555866933,
c02-small-normal1,small,normal,2,old,57,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,31,1555866933,
c02-small-normal1,small,normal,2,new,214,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,3,old,134,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,73,1037085653,
c02-small-normal1,small,normal,3,new,226,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,79,1037085653,
c02-small-normal1,small,normal,4,old,122,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,51,1555866933,
c02-small-normal1,small,normal,4,new,230,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c03-small-dense0,small,dense,0,old,2254,0,0,0,0,10,100000.0,3426.0,1.0000,32,122,103426.0,390,908635330,
c03-small-dense0,small,dense,0,new,1961,0,0,0,0,10,100000.0,3426.0,1.0000,34,122,103426.0,390,-1721087546,same
c03-small-dense0,small,dense,1,old,2504,0,0,0,0,9,90000.0,3995.0,1.0000,29,134,93995.0,472,-1721218,
c03-small-dense0,small,dense,1,new,2234,0,0,0,0,9,90000.0,3995.0,1.0000,29,134,93995.0,455,-1721218,
c03-small-dense0,small,dense,2,old,1204,0,0,0,0,10,100000.0,3351.0,1.0000,35,122,103351.0,302,206343396,
c03-small-dense0,small,dense,2,new,1097,0,0,0,0,10,100000.0,3351.0,1.0000,35,122,103351.0,372,206343396,
c03-small-dense0,small,dense,3,old,1562,0,0,0,0,9,90000.0,3752.0,1.0000,37,138,93752.0,267,-1989960828,
c03-small-dense0,small,dense,3,new,1319,0,0,0,0,9,90000.0,3752.0,1.0000,37,138,93752.0,267,-1989960828,
c03-small-dense0,small,dense,4,old,1183,0,0,0,0,11,110000.0,3105.0,1.0000,45,131,113105.0,328,-1985853408,
c03-small-dense0,small,dense,4,new,2174,0,0,0,0,9,90000.0,3862.0,1.0000,31,134,93862.0,432,-654333788,
c04-small-dense1,small,dense,0,old,1535,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,586,197760004,
c04-small-dense1,small,dense,0,new,2000,0,0,0,0,5,49000.0,5290.0,1.0000,35,155,54290.0,678,100870502,same
c04-small-dense1,small,dense,1,old,2021,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,637,-1086375102,
c04-small-dense1,small,dense,1,new,1795,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,530,-1086375102,
c04-small-dense1,small,dense,2,old,1785,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,538,275425981,
c04-small-dense1,small,dense,2,new,2016,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,521,275425981,
c04-small-dense1,small,dense,3,old,1742,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,450,-1312050081,
c04-small-dense1,small,dense,3,new,1936,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,506,-1312050081,
c04-small-dense1,small,dense,4,old,2489,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,521,-457390331,
c04-small-dense1,small,dense,4,new,2388,0,0,0,0,6,60000.0,4736.0,1.0000,37,147,64736.0,618,-615695739,
c05-small-infeasible0,small,infeasible,0,old,151,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,43,1496314023,
c05-small-infeasible0,small,infeasible,0,new,176,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,35,1496314023,same
c05-small-infeasible0,small,infeasible,1,old,216,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,81,1948228289,
c05-small-infeasible0,small,infeasible,1,new,179,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,79,1948228289,
