case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,72,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,147,780362971,
c01-small-normal0,small,normal,0,new,60,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,same
c01-small-normal0,small,normal,1,old,61,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,27,780362971,
c01-small-normal0,small,normal,1,new,63,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,
c01-small-normal0,small,normal,2,old,63,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,27,780362971,
c01-small-normal0,small,normal,2,new,66,0,0,0,0,0,0.0,128.0,1.0000,0,61,128.0,23,780362971,
c02-small-normal1,small,normal,0,old,62,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,123,61381258,
c02-small-normal1,small,normal,0,new,54,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,same
c02-small-normal1,small,normal,1,old,62,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c02-small-normal1,small,normal,1,new,61,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,27,61381258,
c02-small-normal1,small,normal,2,old,41,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c02-small-normal1,small,normal,2,new,39,0,0,0,0,1,10000.0,128.0,1.0000,2,58,10128.0,23,61381258,
c03-small-dense0,small,dense,0,old,3443,0,0,0,0,8,80000.0,4291.0,1.0000,42,146,84291.0,479,1667540613,
