case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,150,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,110,-1348618309,
c01-small-normal0,small,normal,0,new,181,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,same
c01-small-normal0,small,normal,1,old,99,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,33,-1348618309,
c01-small-normal0,small,normal,1,new,88,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,33,-1348618309,
c01-small-normal0,small,normal,2,old,178,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,new,231,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,3,old,109,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,3,new,141,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,157,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,181,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,438,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,73,1555866933,
c02-small-normal1,small,normal,0,new,438,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,33,1555866933,same
c02-small-normal1,small,normal,1,old,262,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,1,new,282,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,75,1555866933,
c02-small-normal1,small,normal,2,old,204,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,75,1555866933,
c02-small-normal1,small,normal,2,new,177,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,23,1555866933,
c02-small-normal1,small,normal,3,old,213,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,3,new,171,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,4,old,530,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,35,1555866933,
c02-small-normal1,small,normal,4,new,709,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,77,1555866933,
c03-small-dense0,small,dense,0,old,3602,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,356,2135296270,
c03-small-dense0,small,dense,0,new,2714,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,376,2135296270,same
c03-small-dense0,small,dense,1,old,3300,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,537,-1054077149,
c03-small-dense0,small,dense,1,new,2486,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,516,-1054077149,
c03-small-dense0,small,dense,2,old,2219,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,514,343229509,
c03-small-dense0,small,dense,2,new,1685,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,486,343229509,
c03-small-dense0,small,dense,3,old,3284,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,340,391904234,
c03-small-dense0,small,dense,3,new,2335,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,179,391904234,
c03-small-dense0,small,dense,4,old,4596,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,532,-439085529,
c03-small-dense0,small,dense,4,new,5060,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,502,-439085529,
c04-small-dense1,small,dense,0,old,3333,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,557,197760004,
c04-small-dense1,small,dense,0,new,4175,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,561,197760004,same
c04-small-dense1,small,dense,1,old,3058,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,541,-1086375102,
c04-small-dense1,small,dense,1,new,4798,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,534,-1086375102,
c04-small-dense1,small,dense,2,old,4642,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,556,275425981,
c04-small-dense1,small,dense,2,new,4345,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,557,275425981,
c04-small-dense1,small,dense,3,old,4305,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,477,-1312050081,
c04-small-dense1,small,dense,3,new,3179,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,529,-1312050081,
c04-small-dense1,small,dense,4,old,5005,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,499,-457390331,
c04-small-dense1,small,dense,4,new,3863,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,340,-457390331,
c05-small-infeasible0,small,infeasible,0,old,298,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,127,1496314023,
c05-small-infeasible0,small,infeasible,0,new,315,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,65,1496314023,same
c05-small-infeasible0,small,infeasible,1,old,286,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,79,1948228289,
c05-small-infeasible0,small,infeasible,1,new,279,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,77,1948228289,
c05-small-infeasible0,small,infeasible,2,old,130,0,0,0,0,20,199000.0,165.0,1.0000,19,92,199165.0,49,1169115417,
c05-small-infeasible0,small,infeasible,2,new,161,0,0,0,0,20,199000.0,165.0,1.0000,19,92,199165.0,67,1169115417,
c05-small-infeasible0,small,infeasible,3,old,213,0,0,0,0,20,200000.0,170.0,1.0000,40,91,200170.0,67,-1389028346,
c05-small-infeasible0,small,infeasible,3,new,152,0,0,0,0,20,200000.0,170.0,1.0000,40,91,200170.0,59,-1389028346,
c05-small-infeasible0,small,infeasible,4,old,178,0,0,0,0,19,190000.0,195.0,1.0000,32,99,190195.0,59,-1169527047,
c05-small-infeasible0,small,infeasible,4,new,209,0,0,0,0,19,190000.0,195.0,1.0000,32,99,190195.0,65,-1169527047,
c06-small-infeasible1,small,infeasible,0,old,262,0,0,0,0,19,190000.0,165.0,1.0000,38,91,190165.0,79,-974274295,
c06-small-infeasible1,small,infeasible,0,new,231,0,0,0,0,19,190000.0,165.0,1.0000,38,91,190165.0,79,-974274295,same
c06-small-infeasible1,small,infeasible,1,old,378,0,0,0,0,19,190000.0,191.0,1.0000,46,97,190191.0,79,-166054733,
c06-small-infeasible1,small,infeasible,1,new,278,0,0,0,0,19,190000.0,191.0,1.0000,46,97,190191.0,79,-166054733,
c06-small-infeasible1,small,infeasible,2,old,294,0,0,0,0,19,190000.0,177.0,1.0000,43,97,190177.0,79,392406435,
c06-small-infeasible1,small,infeasible,2,new,340,0,0,0,0,19,190000.0,177.0,1.0000,43,97,190177.0,79,392406435,
c06-small-infeasible1,small,infeasible,3,old,91,0,0,0,0,19,190000.0,176.0,1.0000,25,93,190176.0,75,98087229,
c06-small-infeasible1,small,infeasible,3,new,100,0,0,0,0,19,190000.0,176.0,1.0000,25,93,190176.0,31,98087229,
c06-small-infeasible1,small,infeasible,4,old,653,0,0,0,0,19,190000.0,173.0,1.0000,28,87,190173.0,77,-2103026243,
c06-small-infeasible1,small,infeasible,4,new,378,0,0,0,0,19,190000.0,173.0,1.0000,28,87,190173.0,77,-2103026243,
c07-small-wishheavy0,small,wishheavy,0,old,176,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,135,175677132,
c07-small-wishheavy0,small,wishheavy,0,new,141,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,27,175677132,same
c07-small-wishheavy0,small,wishheavy,1,old,98,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,1,new,112,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,2,old,81,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,2,new,130,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,3,old,182,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,3,new,267,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,4,old,108,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,4,new,72,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c08-small-wishheavy1,small,wishheavy,0,old,258,0,0,0,0,11,109000.0,481.0,0.9273,12,123,109481.0,29,-372254404,
c08-small-wishheavy1,small,wishheavy,0,new,362,0,0,0,0,11,109000.0,481.0,0.9273,12,123,109481.0,27,-372254404,same
c08-small-wishheavy1,small,wishheavy,1,old,315,0,0,0,0,11,109000.0,462.0,0.9273,10,117,109462.0,27,-1213960163,
c08-small-wishheavy1,small,wishheavy,1,new,265,0,0,0,0,11,109000.0,462.0,0.9273,10,117,109462.0,29,-1213960163,
c08-small-wishheavy1,small,wishheavy,2,old,107,0,0,0,0,11,109000.0,460.0,0.9273,7,116,109460.0,29,873651902,
c08-small-wishheavy1,small,wishheavy,2,new,140,0,0,0,0,11,109000.0,460.0,0.9273,7,116,109460.0,23,873651902,
c08-small-wishheavy1,small,wishheavy,3,old,92,0,0,0,0,11,109000.0,467.0,0.9273,11,112,109467.0,33,-28532611,
c08-small-wishheavy1,small,wishheavy,3,new,145,0,0,0,0,11,109000.0,467.0,0.9273,11,112,109467.0,33,-28532611,
c08-small-wishheavy1,small,wishheavy,4,old,153,0,0,0,0,11,109000.0,460.0,0.9273,7,116,109460.0,55,873651902,
c08-small-wishheavy1,small,wishheavy,4,new,169,0,0,0,0,11,109000.0,462.0,0.9273,11,117,109462.0,55,-1213960194,
c09-small-forbidden0,small,forbidden,0,old,212,0,0,0,0,1,10000.0,216.0,0.9474,13,76,10216.0,113,1758228218,
c09-small-forbidden0,small,forbidden,0,new,291,0,0,0,0,1,10000.0,216.0,0.9474,13,76,10216.0,75,1758228218,same
c09-small-forbidden0,small,forbidden,1,old,403,0,0,0,0,1,10000.0,223.0,0.9474,15,76,10223.0,79,-1530908108,
c09-small-forbidden0,small,forbidden,1,new,391,0,0,0,0,1,10000.0,223.0,0.9474,15,76,10223.0,79,-1530908108,
c09-small-forbidden0,small,forbidden,2,old,428,0,0,0,0,1,10000.0,214.0,0.9474,3,75,10214.0,79,1206709465,
