case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,103,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,104,-1348618309,
c01-small-normal0,small,normal,0,new,75,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,same
c01-small-normal0,small,normal,1,old,70,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,1,new,77,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,old,65,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,new,63,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,59,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,3,new,60,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,60,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,4,new,57,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,118,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,153,1555866933,
c02-small-normal1,small,normal,0,new,109,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,43,1555866933,same
c02-small-normal1,small,normal,1,old,114,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,53,1555866933,
c02-small-normal1,small,normal,1,new,127,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,55,1555866933,
c02-small-normal1,small,normal,2,old,58,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,53,1555866933,
c02-small-normal1,small,normal,2,new,69,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,27,1555866933,
c02-small-normal1,small,normal,3,old,120,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,31,1037085653,
c02-small-normal1,small,normal,3,new,104,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,31,1037085653,
c02-small-normal1,small,normal,4,old,127,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,49,1555866933,
c02-small-normal1,small,normal,4,new,118,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,49,1555866933,
c03-small-dense0,small,dense,0,old,2148,0,0,0,0,10,100000.0,3426.0,1.0000,32,122,103426.0,492,908635330,
c03-small-dense0,small,dense,0,new,1403,0,0,0,0,10,100000.0,3426.0,1.0000,32,122,103426.0,449,908635330,same
c03-small-dense0,small,dense,1,old,2590,0,0,0,0,9,90000.0,3995.0,1.0000,29,134,93995.0,439,-1721218,
c03-small-dense0,small,dense,1,new,2455,0,0,0,0,9,90000.0,3995.0,1.0000,29,134,93995.0,428,-1721218,
c03-small-dense0,small,dense,2,old,1038,0,0,0,0,10,100000.0,3351.0,1.0000,35,122,103351.0,434,206343396,
c03-small-dense0,small,dense,2,new,966,0,0,0,0,10,100000.0,3351.0,1.0000,35,122,103351.0,357,206343396,
c03-small-dense0,small,dense,3,old,2078,0,0,0,0,9,90000.0,3752.0,1.0000,37,138,93752.0,406,-1989960828,
c03-small-dense0,small,dense,3,new,1991,0,0,0,0,9,90000.0,3752.0,1.0000,37,138,93752.0,385,-1989960828,
c03-small-dense0,small,dense,4,old,1370,0,0,0,0,11,110000.0,3105.0,1.0000,45,131,113105.0,477,-1985853408,
c03-small-dense0,small,dense,4,new,1202,0,0,0,0,11,110000.0,3105.0,1.0000,45,131,113105.0,483,-1985853408,
c04-small-dense1,small,dense,0,old,1522,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,558,197760004,
c04-small-dense1,small,dense,0,new,1497,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,522,197760004,same
c04-small-dense1,small,dense,1,old,2399,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,572,-1086375102,
c04-small-dense1,small,dense,1,new,1814,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,474,-1086375102,
c04-small-dense1,small,dense,2,old,1712,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,609,275425981,
c04-small-dense1,small,dense,2,new,1614,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,577,275425981,
c04-small-dense1,small,dense,3,old,1567,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,387,-1312050081,
c04-small-dense1,small,dense,3,new,1608,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,329,-1312050081,
c04-small-dense1,small,dense,4,old,2291,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,539,-457390331,
c04-small-dense1,small,dense,4,new,2654,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,489,-457390331,
c05-small-infeasible0,small,infeasible,0,old,107,0,0,0,0,19,190000.0,203.0,1.0000,30,103,190203.0,800,-2051382481,
c05-small-infeasible0,small,infeasible,0,new,89,0,0,0,0,19,190000.0,203.0,1.0000,30,103,190203.0,31,-2051382481,same
c05-small-infeasible0,small,infeasible,1,old,156,0,0,0,0,19,190000.0,189.0,1.0000,45,96,190189.0,81,728347511,
c05-small-infeasible0,small,infeasible,1,new,141,0,0,0,0,19,190000.0,189.0,1.0000,45,96,190189.0,81,728347511,
c05-small-infeasible0,small,infeasible,2,old,192,0,0,0,0,20,199000.0,180.0,1.0000,29,96,199180.0,81,-1255343771,
c05-small-infeasible0,small,infeasible,2,new,194,0,0,0,0,20,199000.0,180.0,1.0000,29,96,199180.0,81,-1255343771,
c05-small-infeasible0,small,infeasible,3,old,122,0,0,0,0,21,209000.0,188.0,1.0000,30,101,209188.0,81,-1526558611,
c05-small-infeasible0,small,infeasible,3,new,144,0,0,0,0,21,209000.0,188.0,1.0000,30,101,209188.0,81,-1526558611,
c05-small-infeasible0,small,infeasible,4,old,125,0,0,0,0,19,190000.0,213.0,1.0000,28,101,190213.0,81,1672167907,
c05-small-infeasible0,small,infeasible,4,new,124,0,0,0,0,19,190000.0,213.0,1.0000,28,101,190213.0,81,1672167907,
c06-small-infeasible1,small,infeasible,0,old,134,0,0,0,0,19,190000.0,165.0,1.0000,38,91,190165.0,137,-974274295,
c06-small-infeasible1,small,infeasible,0,new,116,0,0,0,0,19,190000.0,165.0,1.0000,38,91,190165.0,81,-974274295,same
c06-small-infeasible1,small,infeasible,1,old,181,0,0,0,0,19,190000.0,191.0,1.0000,46,97,190191.0,81,-166054733,
c06-small-infeasible1,small,infeasible,1,new,148,0,0,0,0,19,190000.0,191.0,1.0000,46,97,190191.0,81,-166054733,
c06-small-infeasible1,small,infeasible,2,old,155,0,0,0,0,19,190000.0,177.0,1.0000,43,97,190177.0,81,392406435,
c06-small-infeasible1,small,infeasible,2,new,147,0,0,0,0,19,190000.0,177.0,1.0000,43,97,190177.0,81,392406435,
c06-small-infeasible1,small,infeasible,3,old,53,0,0,0,0,19,190000.0,176.0,1.0000,25,93,190176.0,71,98087229,
