case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,129,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,28,-1348618309,
c01-small-normal0,small,normal,0,new,130,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,same
c01-small-normal0,small,normal,1,old,131,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,110,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,old,102,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,2,new,88,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,31,-1348618309,
c01-small-normal0,small,normal,3,old,101,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,new,76,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,86,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,63,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,171,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,45,1555866933,
c02-small-normal1,small,normal,0,new,145,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,45,1555866933,same
c02-small-normal1,small,normal,1,old,213,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,59,1555866933,
c02-small-normal1,small,normal,1,new,141,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,59,1555866933,
c02-small-normal1,small,normal,2,old,71,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,27,1555866933,
c02-small-normal1,small,normal,2,new,59,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,23,1555866933,
c02-small-normal1,small,normal,3,old,158,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,3,new,108,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,35,1037085653,
c02-small-normal1,small,normal,4,old,123,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,35,1555866933,
c02-small-normal1,small,normal,4,new,96,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,35,1555866933,
c03-small-dense0,small,dense,0,old,1717,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,255,2135296270,
c03-small-dense0,small,dense,0,new,1397,0,0,0,0,10,100000.0,3332.0,1.0000,35,123,103332.0,259,2135296270,same
c03-small-dense0,small,dense,1,old,1582,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,384,-1054077149,
c03-small-dense0,small,dense,1,new,2877,0,0,0,0,9,90000.0,3849.0,1.0000,29,128,93849.0,496,1040491305,
c03-small-dense0,small,dense,2,old,1172,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,438,343229509,
c03-small-dense0,small,dense,2,new,1112,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,393,343229509,
c03-small-dense0,small,dense,3,old,1722,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,326,391904234,
c03-small-dense0,small,dense,3,new,1574,0,0,0,0,9,90000.0,3777.0,1.0000,34,137,93777.0,316,391904234,
c03-small-dense0,small,dense,4,old,2894,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,408,-439085529,
c03-small-dense0,small,dense,4,new,3210,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,487,-439085529,
c04-small-dense1,small,dense,0,old,2131,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,600,197760004,
c04-small-dense1,small,dense,0,new,2218,0,0,0,0,5,49000.0,5290.0,1.0000,33,155,54290.0,471,197760004,same
c04-small-dense1,small,dense,1,old,2726,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,532,-1086375102,
c04-small-dense1,small,dense,1,new,2713,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,403,-1086375102,
c04-small-dense1,small,dense,2,old,2247,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,391,275425981,
c04-small-dense1,small,dense,2,new,2424,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,528,275425981,
c04-small-dense1,small,dense,3,old,2601,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,565,-1312050081,
c04-small-dense1,small,dense,3,new,2407,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,383,-1312050081,
c04-small-dense1,small,dense,4,old,3974,0,0,0,0,6,60000.0,4767.0,1.0000,42,144,64767.0,609,-457390331,
c04-small-dense1,small,dense,4,new,2621,0,0,0,0,6,60000.0,4648.0,1.0000,39,144,64648.0,625,-1805223339,
