case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,172,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,233,-1348618309,
c01-small-normal0,small,normal,0,new,154,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,same
c01-small-normal0,small,normal,1,old,110,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,92,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,old,83,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,2,new,113,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,100,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,new,124,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,134,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,70,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,278,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,81,1555866933,
c02-small-normal1,small,normal,0,new,124,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,77,-380670249,same
c02-small-normal1,small,normal,1,old,287,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,1,new,120,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,63,-380670249,
c02-small-normal1,small,normal,2,old,262,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,2,new,124,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,27,-380670249,
c02-small-normal1,small,normal,3,old,205,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,65,1037085653,
c02-small-normal1,small,normal,3,new,150,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,65,1037085653,
c02-small-normal1,small,normal,4,old,169,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,71,1555866933,
c02-small-normal1,small,normal,4,new,88,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,71,-380670249,
c03-small-dense0,small,dense,0,old,1660,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,304,-811508726,
c03-small-dense0,small,dense,0,new,1234,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,391,-811508726,same
c03-small-dense0,small,dense,1,old,1337,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,458,-1054077149,
c03-small-dense0,small,dense,1,new,1350,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,337,-1054077149,
c03-small-dense0,small,dense,2,old,1358,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,365,343229509,
c03-small-dense0,small,dense,2,new,1268,0,0,0,0,10,100000.0,3410.0,1.0000,29,124,103410.0,413,426198977,
c03-small-dense0,small,dense,3,old,2260,0,0,0,0,9,90000.0,3777.0,1.0000,32,137,93777.0,336,308934766,
c03-small-dense0,small,dense,3,new,1690,0,0,0,0,9,90000.0,3777.0,1.0000,32,137,93777.0,333,308934766,
c03-small-dense0,small,dense,4,old,3268,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,583,-439085529,
c03-small-dense0,small,dense,4,new,3006,0,0,0,0,9,90000.0,3811.0,1.0000,29,140,93811.0,589,350805310,
c04-small-dense1,small,dense,0,old,1900,0,0,0,0,5,49000.0,5290.0,1.0000,35,155,54290.0,426,100870502,
c04-small-dense1,small,dense,0,new,1891,0,0,0,0,5,49000.0,5290.0,1.0000,35,155,54290.0,508,100870502,same
c04-small-dense1,small,dense,1,old,2272,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,534,-1086375102,
c04-small-dense1,small,dense,1,new,2677,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,571,-1086375102,
c04-small-dense1,small,dense,2,old,2555,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,597,275425981,
c04-small-dense1,small,dense,2,new,2205,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,602,275425981,
c04-small-dense1,small,dense,3,old,2471,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,422,-1312050081,
c04-small-dense1,small,dense,3,new,2565,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,683,-1312050081,
c04-small-dense1,small,dense,4,old,2971,0,0,0,0,6,60000.0,4736.0,1.0000,37,147,64736.0,724,-615695739,
c04-small-dense1,small,dense,4,new,3017,0,0,0,0,6,60000.0,4736.0,1.0000,37,147,64736.0,477,-615695739,
c05-small-infeasible0,small,infeasible,0,old,349,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,83,1496314023,
c05-small-infeasible0,small,infeasible,0,new,336,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,79,1496314023,same
c05-small-infeasible0,small,infeasible,1,old,500,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,77,1948228289,
c05-small-infeasible0,small,infeasible,1,new,316,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,77,1948228289,
