case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,112,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,176,-1348618309,
c01-small-normal0,small,normal,0,new,92,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,same
c01-small-normal0,small,normal,1,old,114,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,87,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,2,old,86,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,new,100,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,96,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,new,78,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,old,79,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,70,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,296,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,105,1555866933,
c02-small-normal1,small,normal,0,new,177,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,49,1555866933,same
c02-small-normal1,small,normal,1,old,270,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,1,new,125,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,51,1555866933,
c02-small-normal1,small,normal,2,old,233,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,2,new,67,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,27,1555866933,
c02-small-normal1,small,normal,3,old,267,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,77,1037085653,
c02-small-normal1,small,normal,3,new,189,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,79,1037085653,
c02-small-normal1,small,normal,4,old,223,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,
c02-small-normal1,small,normal,4,new,119,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,41,1555866933,
c03-small-dense0,small,dense,0,old,1912,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,243,-811508726,
c03-small-dense0,small,dense,0,new,1210,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,304,-811508726,same
c03-small-dense0,small,dense,1,old,1977,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,540,-1054077149,
c03-small-dense0,small,dense,1,new,2063,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,550,-1054077149,
c03-small-dense0,small,dense,2,old,2368,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,460,343229509,
c03-small-dense0,small,dense,2,new,1980,0,0,0,0,10,100000.0,3410.0,1.0000,27,124,103410.0,450,343229509,
c03-small-dense0,small,dense,3,old,2617,0,0,0,0,9,90000.0,3777.0,1.0000,32,137,93777.0,397,308934766,
c03-small-dense0,small,dense,3,new,3394,0,0,0,0,9,90000.0,3777.0,1.0000,32,137,93777.0,271,308934766,
c03-small-dense0,small,dense,4,old,6802,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,640,-439085529,
c03-small-dense0,small,dense,4,new,5172,0,0,0,0,9,90000.0,3874.0,1.0000,35,144,93874.0,617,-439085529,
c04-small-dense1,small,dense,0,old,2973,0,0,0,0,5,49000.0,5290.0,1.0000,35,155,54290.0,384,100870502,
c04-small-dense1,small,dense,0,new,3663,0,0,0,0,5,49000.0,5290.0,1.0000,35,155,54290.0,546,100870502,same
c04-small-dense1,small,dense,1,old,3251,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,465,-1086375102,
c04-small-dense1,small,dense,1,new,4044,0,0,0,0,7,70000.0,4257.0,1.0000,41,140,74257.0,424,-1086375102,
c04-small-dense1,small,dense,2,old,3881,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,572,275425981,
c04-small-dense1,small,dense,2,new,3908,0,0,0,0,5,50000.0,5018.0,1.0000,37,150,55018.0,645,275425981,
c04-small-dense1,small,dense,3,old,2714,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,593,-1312050081,
c04-small-dense1,small,dense,3,new,2882,0,0,0,0,5,50000.0,5020.0,1.0000,38,158,55020.0,452,-1312050081,
c04-small-dense1,small,dense,4,old,3613,0,0,0,0,6,60000.0,4736.0,1.0000,37,147,64736.0,474,-615695739,
c04-small-dense1,small,dense,4,new,3709,0,0,0,0,6,60000.0,4736.0,1.0000,37,147,64736.0,603,-615695739,
c05-small-infeasible0,small,infeasible,0,old,272,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,181,1496314023,
c05-small-infeasible0,small,infeasible,0,new,317,0,0,0,0,19,190000.0,201.0,1.0000,30,102,190201.0,81,1496314023,same
c05-small-infeasible0,small,infeasible,1,old,401,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,79,1948228289,
c05-small-infeasible0,small,infeasible,1,new,510,0,0,0,0,19,190000.0,179.0,1.0000,35,98,190179.0,33,1948228289,
c05-small-infeasible0,small,infeasible,2,old,186,0,0,0,0,20,199000.0,165.0,1.0000,19,92,199165.0,27,1169115417,
c05-small-infeasible0,small,infeasible,2,new,202,0,0,0,0,20,199000.0,165.0,1.0000,19,92,199165.0,27,1169115417,
c05-small-infeasible0,small,infeasible,3,old,250,0,0,0,0,20,200000.0,170.0,1.0000,40,91,200170.0,27,-1389028346,
c05-small-infeasible0,small,infeasible,3,new,230,0,0,0,0,20,200000.0,170.0,1.0000,40,91,200170.0,27,-1389028346,
c05-small-infeasible0,small,infeasible,4,old,246,0,0,0,0,19,190000.0,195.0,1.0000,32,99,190195.0,51,-1169527047,
c05-small-infeasible0,small,infeasible,4,new,274,0,0,0,0,19,190000.0,195.0,1.0000,32,99,190195.0,51,-1169527047,
c06-small-infeasible1,small,infeasible,0,old,537,0,0,0,0,20,200000.0,157.0,1.0000,33,88,200157.0,125,-149468034,
c06-small-infeasible1,small,infeasible,0,new,628,0,0,0,0,20,200000.0,157.0,1.0000,33,88,200157.0,79,-149468034,same
c06-small-infeasible1,small,infeasible,1,old,335,0,0,0,0,19,190000.0,167.0,1.0000,39,92,190167.0,77,260669731,
c06-small-infeasible1,small,infeasible,1,new,375,0,0,0,0,19,190000.0,167.0,1.0000,39,92,190167.0,79,260669731,
c06-small-infeasible1,small,infeasible,2,old,243,0,0,0,0,19,190000.0,169.0,1.0000,36,93,190169.0,77,1598312539,
c06-small-infeasible1,small,infeasible,2,new,272,0,0,0,0,19,190000.0,169.0,1.0000,36,93,190169.0,77,1598312539,
c06-small-infeasible1,small,infeasible,3,old,232,0,0,0,0,19,190000.0,174.0,1.0000,27,92,190174.0,79,2047937623,
c06-small-infeasible1,small,infeasible,3,new,201,0,0,0,0,19,190000.0,174.0,1.0000,27,92,190174.0,79,2047937623,
c06-small-infeasible1,small,infeasible,4,old,346,0,0,0,0,19,190000.0,173.0,1.0000,28,87,190173.0,79,-2103026243,
c06-small-infeasible1,small,infeasible,4,new,375,0,0,0,0,19,190000.0,173.0,1.0000,28,87,190173.0,81,-2103026243,
c07-small-wishheavy0,small,wishheavy,0,old,111,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,69,175677132,
c07-small-wishheavy0,small,wishheavy,0,new,62,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,27,175677132,same
c07-small-wishheavy0,small,wishheavy,1,old,65,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,1,new,66,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,2,old,80,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,2,new,80,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,3,old,97,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,3,new,51,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,4,old,71,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c07-small-wishheavy0,small,wishheavy,4,new,61,0,0,0,0,9,90000.0,413.0,0.9615,0,102,90413.0,23,175677132,
c08-small-wishheavy1,small,wishheavy,0,old,138,0,0,0,0,11,109000.0,481.0,0.9273,12,123,109481.0,43,-372254404,
c08-small-wishheavy1,small,wishheavy,0,new,180,0,0,0,0,11,109000.0,481.0,0.9273,12,123,109481.0,35,-372254404,same
c08-small-wishheavy1,small,wishheavy,1,old,244,0,0,0,0,11,109000.0,462.0,0.9273,10,117,109462.0,61,-1213960163,
c08-small-wishheavy1,small,wishheavy,1,new,157,0,0,0,0,11,109000.0,462.0,0.9273,10,117,109462.0,43,-1213960163,
c08-small-wishheavy1,small,wishheavy,2,old,91,0,0,0,0,11,109000.0,460.0,0.9273,7,116,109460.0,43,873651902,
c08-small-wishheavy1,small,wishheavy,2,new,68,0,0,0,0,11,109000.0,460.0,0.9273,7,116,109460.0,23,873651902,
c08-small-wishheavy1,small,wishheavy,3,old,233,0,0,0,0,11,109000.0,467.0,0.9273,11,112,109467.0,27,-28532611,
c08-small-wishheavy1,small,wishheavy,3,new,166,0,0,0,0,11,109000.0,467.0,0.9273,11,112,109467.0,27,-28532611,
c08-small-wishheavy1,small,wishheavy,4,old,158,0,0,0,0,11,109000.0,462.0,0.9273,11,117,109462.0,53,-1213960194,
c08-small-wishheavy1,small,wishheavy,4,new,148,0,0,0,0,11,109000.0,462.0,0.9273,11,117,109462.0,55,-1213960194,
c09-small-forbidden0,small,forbidden,0,old,204,0,0,0,0,1,10000.0,216.0,0.9474,13,76,10216.0,79,1758228218,
c09-small-forbidden0,small,forbidden,0,new,267,0,0,0,0,1,10000.0,216.0,0.9474,13,76,10216.0,75,1758228218,same
c09-small-forbidden0,small,forbidden,1,old,255,0,0,0,0,1,10000.0,223.0,0.9474,15,76,10223.0,79,-1530908108,
c09-small-forbidden0,small,forbidden,1,new,299,0,0,0,0,1,10000.0,223.0,0.9474,15,76,10223.0,79,-1530908108,
c09-small-forbidden0,small,forbidden,2,old,163,0,0,0,0,1,10000.0,218.0,0.9474,4,77,10218.0,69,995358552,
c09-small-forbidden0,small,forbidden,2,new,189,0,0,0,0,1,10000.0,218.0,0.9474,4,77,10218.0,69,995358552,
c09-small-forbidden0,small,forbidden,3,old,206,0,0,0,0,1,10000.0,238.0,0.9474,21,80,10238.0,79,1661787965,
c09-small-forbidden0,small,forbidden,3,new,259,0,0,0,0,1,10000.0,238.0,0.9474,21,80,10238.0,79,1661787965,
c09-small-forbidden0,small,forbidden,4,old,295,0,0,0,0,1,10000.0,233.0,0.9474,22,81,10233.0,79,-2095296813,
c09-small-forbidden0,small,forbidden,4,new,201,0,0,0,0,1,10000.0,233.0,0.9474,22,81,10233.0,79,-2095296813,
c10-small-forbidden1,small,forbidden,0,old,331,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,79,667039954,
c10-small-forbidden1,small,forbidden,0,new,117,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,35,667039954,same
c10-small-forbidden1,small,forbidden,1,old,409,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,79,667039954,
c10-small-forbidden1,small,forbidden,1,new,126,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,37,667039954,
c10-small-forbidden1,small,forbidden,2,old,417,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,79,667039954,
c10-small-forbidden1,small,forbidden,2,new,142,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,57,667039954,
c10-small-forbidden1,small,forbidden,3,old,483,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,79,667039954,
c10-small-forbidden1,small,forbidden,3,new,112,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,35,667039954,
c10-small-forbidden1,small,forbidden,4,old,451,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,79,667039954,
c10-small-forbidden1,small,forbidden,4,new,169,0,0,0,0,0,0.0,182.0,0.8750,0,62,182.0,69,667039954,
c11-small-c2deficit0,small,c2deficit,0,old,267,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,115,-1095801007,
c11-small-c2deficit0,small,c2deficit,0,new,349,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,61,-1095801007,same
c11-small-c2deficit0,small,c2deficit,1,old,245,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,71,-1095801007,
c11-small-c2deficit0,small,c2deficit,1,new,198,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,71,-1095801007,
c11-small-c2deficit0,small,c2deficit,2,old,224,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,65,-1095801007,
c11-small-c2deficit0,small,c2deficit,2,new,194,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,65,-1095801007,
c11-small-c2deficit0,small,c2deficit,3,old,218,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,65,-1095801007,
c11-small-c2deficit0,small,c2deficit,3,new,200,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,55,-1095801007,
c11-small-c2deficit0,small,c2deficit,4,old,236,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,63,-1095801007,
c11-small-c2deficit0,small,c2deficit,4,new,214,0,0,0,0,0,0.0,159.0,1.0000,3,62,159.0,63,-1095801007,
c12-small-c2deficit1,small,c2deficit,0,old,177,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,67,1653005351,
c12-small-c2deficit1,small,c2deficit,0,new,152,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,31,1653005351,same
c12-small-c2deficit1,small,c2deficit,1,old,153,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,35,1653005351,
c12-small-c2deficit1,small,c2deficit,1,new,172,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,35,1653005351,
c12-small-c2deficit1,small,c2deficit,2,old,154,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,35,1653005351,
c12-small-c2deficit1,small,c2deficit,2,new,165,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,33,1653005351,
c12-small-c2deficit1,small,c2deficit,3,old,151,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,33,1653005351,
c12-small-c2deficit1,small,c2deficit,3,new,129,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,27,1653005351,
c12-small-c2deficit1,small,c2deficit,4,old,168,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,31,1653005351,
c12-small-c2deficit1,small,c2deficit,4,new,189,0,0,0,0,0,0.0,175.0,1.0000,6,63,175.0,49,1653005351,
c13-small-c42pair0,small,c42pair,0,old,242,0,0,0,0,0,0.0,159.0,0.9167,4,60,159.0,53,-128600138,
c13-small-c42pair0,small,c42pair,0,new,173,0,0,0,0,0,0.0,159.0,0.9167,4,60,159.0,25,-128600138,same
