case,size,cat,seed,arm,ms,timeout,exception,oob,mismatch,hard,hardW,softW,wishRate,changed,total,weighted,peakMB,hash,repro
c01-small-normal0,small,normal,0,old,352,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,168,-1348618309,
c01-small-normal0,small,normal,0,new,315,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,same
c01-small-normal0,small,normal,1,old,119,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,1,new,219,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,2,old,109,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,2,new,119,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,3,old,107,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,3,new,162,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,27,-1348618309,
c01-small-normal0,small,normal,4,old,307,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c01-small-normal0,small,normal,4,new,145,0,0,0,0,0,0.0,153.0,1.0000,2,58,153.0,23,-1348618309,
c02-small-normal1,small,normal,0,old,406,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,35,-380670249,
c02-small-normal1,small,normal,0,new,632,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,79,1555866933,same
c02-small-normal1,small,normal,1,old,273,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,27,-380670249,
c02-small-normal1,small,normal,1,new,745,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,63,1555866933,
c02-small-normal1,small,normal,2,old,705,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,63,-380670249,
c02-small-normal1,small,normal,2,new,537,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,77,1555866933,
c02-small-normal1,small,normal,3,old,508,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,77,1037085653,
c02-small-normal1,small,normal,3,new,462,0,0,0,0,1,10000.0,163.0,1.0000,7,60,10163.0,79,1037085653,
c02-small-normal1,small,normal,4,old,196,0,0,0,0,1,10000.0,152.0,1.0000,5,58,10152.0,27,-380670249,
c02-small-normal1,small,normal,4,new,457,0,0,0,0,1,10000.0,152.0,1.0000,3,58,10152.0,71,1555866933,
c03-small-dense0,small,dense,0,old,4795,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,326,-811508726,
c03-small-dense0,small,dense,0,new,3033,0,0,0,0,10,100000.0,3308.0,1.0000,35,118,103308.0,299,-811508726,same
c03-small-dense0,small,dense,1,old,3958,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,557,-1054077149,
c03-small-dense0,small,dense,1,new,3099,0,0,0,0,10,100000.0,3367.0,1.0000,34,123,103367.0,347,-1054077149,
c03-small-dense0,small,dense,2,old,2683,0,0,0,0,10,100000.0,3410.0,1.0000,29,124,103410.0,330,426198977,
