fixture,seed,arm,elapsedMs,hard,weightedScore,total
golden,1,off,123199,0,3374.0,332
golden,1,on,123022,0,3339.0,333
golden,2,off,123043,0,3256.0,342
golden,2,on,123067,0,3194.0,348
golden,3,off,123005,0,3321.0,324
golden,3,on,125417,0,3137.0,328
golden,4,off,123012,0,3314.0,324
golden,4,on,124051,0,3270.0,334
golden,5,off,123004,0,3297.0,350
golden,5,on,123014,0,3282.0,331
sample,1,off,123005,1,8051.0,289
sample,1,on,123009,1,8001.0,313
sample,2,off,123698,1,7962.0,275
sample,2,on,123206,1,8016.0,296
sample,3,off,123003,1,7945.0,286
sample,3,on,123035,1,7953.0,271
sample,4,off,123005,1,8041.0,315
sample,4,on,123046,1,8022.0,295
sample,5,off,123005,1,7986.0,283
sample,5,on,123005,1,7973.0,278
blocked_covu,1,off,123010,4,33539.0,331
blocked_covu,1,on,123007,4,33378.0,325
blocked_covu,2,off,123562,4,33338.0,323
blocked_covu,2,on,124588,4,33336.0,327
blocked_covu,3,off,123881,4,33327.0,319
blocked_covu,3,on,123039,4,33587.0,346
blocked_covu,4,off,125487,4,33969.0,329
blocked_covu,4,on,126003,4,33550.0,358
blocked_covu,5,off,124058,4,33848.0,327
blocked_covu,5,on,125165,4,33592.0,329
sept2026,1,off,124370,0,2897.0,411
sept2026,1,on,124453,0,2897.0,411
sept2026,2,off,123125,0,2974.0,422
sept2026,2,on,126003,0,2908.0,421
sept2026,3,off,123003,0,2927.0,418
sept2026,3,on,123004,0,2927.0,418
sept2026,4,off,123004,0,2869.0,411
sept2026,4,on,123014,0,2885.0,411
sept2026,5,off,123003,0,2880.0,416
sept2026,5,on,123006,0,2840.0,410
