fixture,staff,day,reason,hardB,hardG0,fixed,hardFix,msFix,hardOpt,msOpt,hardPost,msPost,hardG,msG
sample_state_v6,9,18,希望が禁止の並びに掛かっています,1,1,1,1,1274,1,3003,1,3004,1,24490
sample_state_v6,9,19,希望が禁止の並びに掛かっています,1,1,1,0,887,0,3001,0,3015,0,24219
blocked_covu_state,0,0,人手不足の日に別の勤務の希望,4,4,4,4,1390,4,3003,4,3005,4,24231
blocked_covu_state,2,0,人手不足の日に別の勤務の希望,4,4,4,3,1437,3,3001,4,2582,4,28715
blocked_covu_state,4,0,人手不足の日に別の勤務の希望,4,4,4,4,1572,3,3002,4,3002,4,28305
blocked_covu_state,8,0,人手不足の日に別の勤務の希望,4,4,4,4,1416,3,3001,4,3001,4,28128
c03-small-dense0,5,2,人手不足の日に別の勤務の希望,9,9,9,9,154,9,3001,8,1370,8,21478
c03-small-dense0,7,4,人手不足の日に別の勤務の希望,9,9,9,9,84,9,3000,9,1237,8,21328
c03-small-dense0,5,7,人手不足の日に別の勤務の希望,9,9,9,9,101,8,3001,8,1377,8,21760
c03-small-dense0,4,5,人手不足の日に別の勤務の希望,9,9,9,9,103,9,3001,9,1549,8,21677
c04-small-dense1,2,7,人手不足の日に別の勤務の希望,7,7,7,7,160,7,3001,7,1754,7,21254
c04-small-dense1,1,9,人手不足の日に別の勤務の希望,7,7,7,7,93,7,3000,7,1103,7,21003
c04-small-dense1,5,9,人手不足の日に別の勤務の希望,7,7,7,7,92,7,3002,7,1478,7,21293
c04-small-dense1,0,2,人手不足の日に別の勤務の希望,7,7,7,6,93,6,3001,7,1492,5,21586
c07-small-wishheavy0,2,10,人手不足の日に別の勤務の希望,9,9,9,9,36,8,3005,8,93,8,20049
c07-small-wishheavy0,3,10,人手不足の日に別の勤務の希望,9,9,9,8,30,8,3000,8,26,8,20027
c07-small-wishheavy0,4,10,人手不足の日に別の勤務の希望,9,9,9,8,29,8,3000,8,39,8,20038
c07-small-wishheavy0,6,10,人手不足の日に別の勤務の希望,9,9,9,9,29,8,3001,8,50,8,20022
c08-small-wishheavy1,6,10,希望が禁止の並びに掛かっています,11,11,11,10,15,11,3001,10,63,10,20063
c08-small-wishheavy1,2,5,人手不足の日に別の勤務の希望,11,11,11,10,14,10,3001,10,89,10,20091
c08-small-wishheavy1,3,5,人手不足の日に別の勤務の希望,11,11,11,10,21,10,3001,10,64,10,20029
c08-small-wishheavy1,4,5,人手不足の日に別の勤務の希望,11,11,11,10,24,10,3000,10,59,10,20067
c09-small-forbidden0,4,8,人手不足の日に別の勤務の希望,1,1,1,1,17,0,3005,0,57,0,20032
c09-small-forbidden0,5,8,人手不足の日に別の勤務の希望,1,1,1,0,19,0,3000,0,90,0,20049
c09-small-forbidden0,6,8,人手不足の日に別の勤務の希望,1,1,1,0,18,0,3000,0,44,0,20033
c09-small-forbidden0,7,8,人手不足の日に別の勤務の希望,1,1,1,0,19,0,3001,0,86,0,20032
c17-medium-dense0,3,13,人手不足の日に別の勤務の希望,2,2,2,1,2760,1,3001,2,3008,1,27891
c17-medium-dense0,4,13,人手不足の日に別の勤務の希望,2,2,2,2,2848,1,3002,1,3004,1,26655
c17-medium-dense0,7,13,人手不足の日に別の勤務の希望,2,2,2,1,2562,1,3001,1,3005,1,27199
c17-medium-dense0,8,13,人手不足の日に別の勤務の希望,2,2,2,1,2413,1,3002,1,2984,1,27049
c18-medium-dense1,2,25,人手不足の日に別の勤務の希望,3,3,3,2,2371,2,3002,2,3007,2,27800
c18-medium-dense1,4,25,人手不足の日に別の勤務の希望,3,3,3,2,2342,2,3001,2,2944,2,27660
c18-medium-dense1,6,25,人手不足の日に別の勤務の希望,3,3,3,2,2295,2,3002,2,2952,2,26435
c18-medium-dense1,7,25,人手不足の日に別の勤務の希望,3,3,3,3,2462,2,3001,3,3001,2,27392
c21-medium-wishheavy0,14,1,希望が禁止の並びに掛かっています,20,20,20,19,733,20,3002,19,992,19,20962
c21-medium-wishheavy0,0,26,人手不足の日に別の勤務の希望,20,20,20,19,628,19,3002,19,891,19,21002
c21-medium-wishheavy0,2,26,人手不足の日に別の勤務の希望,20,20,20,20,615,19,3001,19,850,19,20892
c21-medium-wishheavy0,3,26,人手不足の日に別の勤務の希望,20,20,20,20,567,20,3002,20,819,20,20814
c22-medium-wishheavy1,5,5,希望が禁止の並びに掛かっています,28,28,28,27,445,28,3001,27,680,27,20639
c22-medium-wishheavy1,14,19,希望が禁止の並びに掛かっています,28,28,28,27,440,28,3002,27,823,27,20776
c22-medium-wishheavy1,0,5,人手不足の日に別の勤務の希望,28,28,28,27,513,27,3002,27,598,27,20591
c22-medium-wishheavy1,1,5,人手不足の日に別の勤務の希望,28,28,28,27,476,27,3001,27,830,27,20846
c24-medium-forbidden1,3,14,希望が禁止の並びに掛かっています,1,1,1,0,376,0,3001,0,1539,0,20907
c24-medium-forbidden1,3,15,希望が禁止の並びに掛かっています,1,1,1,0,351,0,3001,0,562,0,20509
c31-large-dense0,1,16,人手不足の日に別の勤務の希望,1,1,1,0,1683,0,3002,0,1656,0,25135
c31-large-dense0,3,16,人手不足の日に別の勤務の希望,1,1,1,0,1668,0,3001,0,1635,0,25128
c31-large-dense0,4,16,人手不足の日に別の勤務の希望,1,1,1,0,1757,0,3001,0,1655,0,25133
c31-large-dense0,7,16,人手不足の日に別の勤務の希望,1,1,1,0,1657,0,3000,0,1650,0,25136
c35-large-wishheavy0,0,20,人手不足の日に別の勤務の希望,33,33,33,33,3001,33,3002,33,2130,33,24440
c35-large-wishheavy0,1,20,人手不足の日に別の勤務の希望,33,33,33,32,3001,32,3001,32,2125,32,25663
c35-large-wishheavy0,2,20,人手不足の日に別の勤務の希望,33,33,33,33,3001,33,3002,33,2124,33,25415
c35-large-wishheavy0,3,20,人手不足の日に別の勤務の希望,33,33,33,32,3001,32,3006,32,2061,32,24129
c36-large-wishheavy1,0,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,38,3001,38,2483,38,25847
c36-large-wishheavy1,3,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,38,3001,38,2338,38,25178
c36-large-wishheavy1,5,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,38,3002,38,2529,38,26417
c36-large-wishheavy1,6,5,人手不足の日に別の勤務の希望,39,39,39,39,3001,38,3001,38,2484,38,25136
