fixture,staff,day,reason,hardB,hardG0,fixed,hardFix,msFix,hardFixKept,hardOpt,msOpt,hardPost,msPost,hardVcr,hardVcrKept,msVcr,hardVcrW,hardVcrWKept,msVcrW,hardG,msG
sample_state_v6,9,18,希望が禁止の並びに掛かっています,1,1,1,1,1105,1,-1,0,-1,0,1,1,60,1,1,74,1,28913
sample_state_v6,9,19,希望が禁止の並びに掛かっています,1,1,1,0,1074,1,-1,0,-1,0,1,1,55,1,1,57,0,25492
blocked_covu_state,0,0,人手不足の日に別の勤務の希望,4,4,4,4,1108,4,-1,0,-1,0,4,4,111,4,4,81,4,25094
blocked_covu_state,2,0,人手不足の日に別の勤務の希望,4,4,4,3,1178,4,-1,0,-1,0,3,4,72,3,4,69,4,29552
blocked_covu_state,4,0,人手不足の日に別の勤務の希望,4,4,4,3,1497,4,-1,0,-1,0,4,4,92,4,4,94,4,29016
blocked_covu_state,8,0,人手不足の日に別の勤務の希望,4,4,4,3,1038,4,-1,0,-1,0,4,4,71,4,4,74,4,29283
c03-small-dense0,5,2,人手不足の日に別の勤務の希望,10,10,10,10,100,10,-1,0,-1,0,10,10,59,9,10,290,9,20809
c03-small-dense0,4,5,人手不足の日に別の勤務の希望,10,10,10,10,108,10,-1,0,-1,0,9,10,59,9,10,130,8,21085
c03-small-dense0,1,10,人手不足の日に別の勤務の希望,10,10,10,10,104,10,-1,0,-1,0,10,10,58,10,10,84,10,20983
c03-small-dense0,7,10,人手不足の日に別の勤務の希望,10,10,10,10,136,10,-1,0,-1,0,10,10,55,10,10,132,10,21218
c04-small-dense1,0,2,人手不足の日に別の勤務の希望,8,8,8,8,166,8,-1,0,-1,0,7,8,77,7,8,267,6,21966
c04-small-dense1,2,7,人手不足の日に別の勤務の希望,8,8,8,7,219,8,-1,0,-1,0,7,8,64,6,8,192,7,21798
c07-small-wishheavy0,2,10,人手不足の日に別の勤務の希望,9,9,9,9,58,9,-1,0,-1,0,8,9,4,8,9,4,8,20071
c07-small-wishheavy0,3,10,人手不足の日に別の勤務の希望,9,9,9,8,32,9,-1,0,-1,0,8,9,3,8,9,3,8,20035
c07-small-wishheavy0,4,10,人手不足の日に別の勤務の希望,9,9,9,8,38,9,-1,0,-1,0,8,9,2,8,9,3,8,20051
c07-small-wishheavy0,6,10,人手不足の日に別の勤務の希望,9,9,9,9,52,9,-1,0,-1,0,8,9,7,8,9,5,8,20026
c08-small-wishheavy1,6,10,希望が禁止の並びに掛かっています,11,11,11,10,16,11,-1,0,-1,0,10,11,12,10,11,4,10,20089
c08-small-wishheavy1,2,5,人手不足の日に別の勤務の希望,11,11,11,10,20,11,-1,0,-1,0,10,11,4,10,11,5,10,20037
c08-small-wishheavy1,3,5,人手不足の日に別の勤務の希望,11,11,11,10,17,11,-1,0,-1,0,10,11,5,10,11,4,10,20052
c08-small-wishheavy1,4,5,人手不足の日に別の勤務の希望,11,11,11,10,17,11,-1,0,-1,0,10,11,5,10,11,5,10,20048
c09-small-forbidden0,4,8,人手不足の日に別の勤務の希望,1,1,1,0,29,1,-1,0,-1,0,0,1,2,0,1,0,0,20056
c09-small-forbidden0,5,8,人手不足の日に別の勤務の希望,1,1,1,0,26,1,-1,0,-1,0,0,1,1,0,1,0,0,20075
c09-small-forbidden0,6,8,人手不足の日に別の勤務の希望,1,1,1,0,25,1,-1,0,-1,0,0,1,1,0,1,0,0,20049
c09-small-forbidden0,7,8,人手不足の日に別の勤務の希望,1,1,1,1,25,1,-1,0,-1,0,0,1,1,0,1,1,0,20040
c17-medium-dense0,3,13,人手不足の日に別の勤務の希望,3,2,3,2,2649,2,-1,0,-1,0,2,2,47,2,2,90,1,27743
c17-medium-dense0,4,13,人手不足の日に別の勤務の希望,3,2,3,2,2596,2,-1,0,-1,0,1,2,54,1,2,65,1,27472
c17-medium-dense0,7,13,人手不足の日に別の勤務の希望,3,2,3,2,2585,2,-1,0,-1,0,2,2,49,2,2,163,1,27187
c17-medium-dense0,8,13,人手不足の日に別の勤務の希望,3,2,3,2,2643,2,-1,0,-1,0,1,2,52,1,2,99,1,27194
c18-medium-dense1,2,25,人手不足の日に別の勤務の希望,3,3,3,3,2895,3,-1,0,-1,0,3,3,58,3,3,170,2,27003
c18-medium-dense1,4,25,人手不足の日に別の勤務の希望,3,3,3,2,2869,3,-1,0,-1,0,2,3,78,2,3,85,2,27200
c18-medium-dense1,6,25,人手不足の日に別の勤務の希望,3,3,3,3,2712,3,-1,0,-1,0,3,3,48,3,3,115,2,27081
c18-medium-dense1,7,25,人手不足の日に別の勤務の希望,3,3,3,2,2801,3,-1,0,-1,0,2,3,52,2,3,71,2,27171
