fixture,staff,day,reason,hardB,hardG0,fixed,hardFix,msFix,hardFixKept,hardOpt,msOpt,hardPost,msPost,hardVcr,hardVcrKept,msVcr,hardVcrW,hardVcrWKept,msVcrW,hardG,msG,hardPostKept
sample_state_v6,9,18,希望が禁止の並びに掛かっています,1,1,1,1,1177,1,-1,0,1,3005,1,1,75,1,1,66,1,24190,1
sample_state_v6,9,19,希望が禁止の並びに掛かっています,1,1,1,0,1191,1,-1,0,0,3004,0,1,83,0,1,66,0,27395,1
blocked_covu_state,0,0,人手不足の日に別の勤務の希望,4,4,4,4,1181,4,-1,0,4,2963,4,4,39,4,4,36,4,25150,4
blocked_covu_state,2,0,人手不足の日に別の勤務の希望,4,4,4,3,1150,4,-1,0,3,3008,3,4,67,3,4,64,4,29555,4
blocked_covu_state,4,0,人手不足の日に別の勤務の希望,4,4,4,3,1356,4,-1,0,4,2958,4,4,44,4,4,37,4,29433,4
blocked_covu_state,8,0,人手不足の日に別の勤務の希望,4,4,4,3,1231,4,-1,0,4,2860,4,4,63,4,4,61,4,29564,4
c03-small-dense0,4,5,人手不足の日に別の勤務の希望,10,10,10,10,117,10,-1,0,9,2088,10,10,59,10,10,78,8,22078,10
c03-small-dense0,5,7,人手不足の日に別の勤務の希望,10,10,10,10,113,10,-1,0,9,873,10,10,49,10,10,71,9,20779,10
c03-small-dense0,4,8,人手不足の日に別の勤務の希望,10,10,10,10,104,10,-1,0,9,713,10,10,52,10,10,144,9,20962,10
c03-small-dense0,1,10,人手不足の日に別の勤務の希望,10,10,10,10,91,10,-1,0,9,954,10,10,52,10,10,69,9,20937,10
c04-small-dense1,0,2,人手不足の日に別の勤務の希望,5,5,5,4,106,5,-1,0,5,1448,4,5,56,4,5,96,4,21022,5
c04-small-dense1,1,9,人手不足の日に別の勤務の希望,5,5,5,5,95,5,-1,0,5,989,5,5,69,5,5,139,5,20960,5
c07-small-wishheavy0,2,10,人手不足の日に別の勤務の希望,9,9,9,9,30,9,-1,0,8,31,8,9,1,8,9,1,8,20030,9
c07-small-wishheavy0,3,10,人手不足の日に別の勤務の希望,9,9,9,8,35,9,-1,0,8,18,8,9,1,8,9,1,8,20048,9
c07-small-wishheavy0,4,10,人手不足の日に別の勤務の希望,9,9,9,8,28,9,-1,0,8,24,8,9,0,8,9,1,8,20030,9
c07-small-wishheavy0,6,10,人手不足の日に別の勤務の希望,9,9,9,9,30,9,-1,0,8,76,8,9,2,8,9,1,8,20049,9
c08-small-wishheavy1,6,10,希望が禁止の並びに掛かっています,11,11,11,10,18,11,-1,0,10,70,10,11,5,10,11,3,10,20069,11
c08-small-wishheavy1,2,5,人手不足の日に別の勤務の希望,11,11,11,10,16,11,-1,0,10,39,10,11,4,10,11,4,10,20034,11
c08-small-wishheavy1,3,5,人手不足の日に別の勤務の希望,11,11,11,10,17,11,-1,0,10,45,10,11,4,10,11,4,10,20050,11
c08-small-wishheavy1,4,5,人手不足の日に別の勤務の希望,11,11,11,10,16,11,-1,0,10,36,10,11,4,10,11,5,10,20036,11
c09-small-forbidden0,4,8,人手不足の日に別の勤務の希望,1,1,1,1,34,1,-1,0,0,46,1,1,0,1,1,1,0,20052,1
c09-small-forbidden0,5,8,人手不足の日に別の勤務の希望,1,1,1,1,20,1,-1,0,0,94,0,1,1,0,1,1,0,20054,1
c09-small-forbidden0,6,8,人手不足の日に別の勤務の希望,1,1,1,1,21,1,-1,0,0,50,0,1,2,0,1,2,0,20073,1
c09-small-forbidden0,7,8,人手不足の日に別の勤務の希望,1,1,1,0,22,1,-1,0,0,61,0,1,1,0,1,0,0,20033,1
c17-medium-dense0,3,13,人手不足の日に別の勤務の希望,2,2,2,2,2967,2,-1,0,1,2978,2,2,51,2,2,107,1,30011,2
c17-medium-dense0,4,13,人手不足の日に別の勤務の希望,2,2,2,1,2933,2,-1,0,2,3030,1,2,390,1,2,141,1,27739,2
c17-medium-dense0,7,13,人手不足の日に別の勤務の希望,2,2,2,1,3002,2,-1,0,2,3005,1,2,58,1,2,65,1,27349,2
c17-medium-dense0,8,13,人手不足の日に別の勤務の希望,2,2,2,1,3001,2,-1,0,2,3003,1,2,58,1,2,91,1,27384,2
c18-medium-dense1,2,25,人手不足の日に別の勤務の希望,3,3,3,3,2726,3,-1,0,3,3003,3,3,91,3,3,202,2,27208,3
c18-medium-dense1,4,25,人手不足の日に別の勤務の希望,3,3,3,2,2434,3,-1,0,2,2918,2,3,57,2,3,78,2,27225,3
c18-medium-dense1,6,25,人手不足の日に別の勤務の希望,3,3,3,2,2782,3,-1,0,2,3003,2,3,59,2,3,86,2,26922,3
c18-medium-dense1,7,25,人手不足の日に別の勤務の希望,3,3,3,3,2693,3,-1,0,3,2949,3,3,52,3,3,95,2,27245,3
c21-medium-wishheavy0,14,1,希望が禁止の並びに掛かっています,20,20,20,19,635,20,-1,0,19,1140,19,20,34,19,20,35,19,21176,20
c21-medium-wishheavy0,0,12,人手不足の日に別の勤務の希望,20,20,20,19,655,20,-1,0,19,1121,19,20,41,19,20,39,19,21194,20
c21-medium-wishheavy0,2,12,人手不足の日に別の勤務の希望,20,20,20,20,674,20,-1,0,20,807,20,20,32,20,20,34,20,21083,20
c21-medium-wishheavy0,3,12,人手不足の日に別の勤務の希望,20,20,20,19,662,20,-1,0,19,1516,19,20,56,19,20,52,19,21204,20
c22-medium-wishheavy1,5,5,希望が禁止の並びに掛かっています,28,28,28,28,517,28,-1,0,27,591,27,28,41,27,28,42,27,20623,28
c22-medium-wishheavy1,14,19,希望が禁止の並びに掛かっています,28,28,28,27,484,28,-1,0,27,599,27,28,32,27,28,30,27,20646,28
c22-medium-wishheavy1,0,5,人手不足の日に別の勤務の希望,28,28,28,27,576,28,-1,0,27,583,27,28,26,27,28,24,27,20604,28
c22-medium-wishheavy1,1,5,人手不足の日に別の勤務の希望,28,28,28,27,462,28,-1,0,27,586,27,28,27,27,28,28,27,20587,28
c24-medium-forbidden1,3,14,希望が禁止の並びに掛かっています,1,1,1,0,392,1,-1,0,0,1430,0,1,8,0,1,6,0,20505,1
c24-medium-forbidden1,3,15,希望が禁止の並びに掛かっています,1,1,1,0,444,1,-1,0,0,1432,0,1,5,0,1,5,0,20513,1
c31-large-dense0,1,16,人手不足の日に別の勤務の希望,1,1,1,0,1424,1,-1,0,0,1665,0,1,4,0,1,4,0,25144,1
c31-large-dense0,3,16,人手不足の日に別の勤務の希望,1,1,1,0,1226,1,-1,0,0,1639,0,1,3,0,1,2,0,25157,1
c31-large-dense0,4,16,人手不足の日に別の勤務の希望,1,1,1,0,1283,1,-1,0,0,1647,0,1,1,0,1,1,0,23335,1
c31-large-dense0,7,16,人手不足の日に別の勤務の希望,1,1,1,0,1280,1,-1,0,0,1648,0,1,4,0,1,3,0,25599,1
c35-large-wishheavy0,0,5,人手不足の日に別の勤務の希望,33,33,33,32,3001,33,-1,0,32,1945,32,33,67,32,33,118,32,25501,33
c35-large-wishheavy0,1,5,人手不足の日に別の勤務の希望,33,33,33,32,3001,33,-1,0,32,2306,32,33,64,32,33,132,32,25515,33
c35-large-wishheavy0,2,5,人手不足の日に別の勤務の希望,33,33,33,33,3001,33,-1,0,32,1937,32,33,71,32,33,113,32,23713,33
c35-large-wishheavy0,5,5,人手不足の日に別の勤務の希望,33,33,33,32,3001,33,-1,0,32,1939,32,33,64,32,33,114,32,24016,33
c36-large-wishheavy1,0,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,38,2300,38,39,61,38,39,60,38,25745,39
c36-large-wishheavy1,3,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,38,2348,38,39,70,38,39,93,38,24087,39
c36-large-wishheavy1,5,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,38,2219,38,39,52,38,39,51,38,25777,39
c36-large-wishheavy1,6,5,人手不足の日に別の勤務の希望,39,39,39,38,3001,39,-1,0,38,2259,38,39,56,38,39,58,38,25861,39
